seq,rtt_ms
1,13.695955276489258
2,90.39974212646484
3,242.2950267791748
4,317.02160835266113
5,413.8972759246826
6,641.27516746521
7,699.8562812805176
8,886.0044479370117
9,1016.1328315734863
10,1154.3083190917969
11,1218.062162399292
12,1349.9383926391602
13,1503.3769607543945
14,1557.7592849731445
15,1614.8419380187988
16,1679.8973083496094
17,1734.9655628204346
18,1791.2118434906006
19,1847.775936126709
20,1902.6484489440918
21,1958.4712982177734
22,2066.7824745178223
23,2122.1718788146973
24,2180.102825164795
25,2237.428903579712
26,2414.562225341797
27,2474.0426540374756
28,2531.129837036133
29,2588.843584060669
30,2644.4289684295654
31,2782.9999923706055
32,2837.8233909606934
33,2962.2960090637207
34,3016.4387226104736
35,3073.223352432251
36,3162.4834537506104
37,3217.796802520752
38,3271.965503692627
39,3369.1959381103516
40,3424.536943435669
41,3574.516773223877
42,3628.702402114868
43,3683.013916015625
44,3740.349292755127
45,3794.891595840454
46,3884.6311569213867
47,3983.43563079834
48,4036.5679264068604
49,4091.5749073028564
50,4146.907806396484
